metric,error,true_label,embedding,type_number
num_tables,3.7213,-0.1979*,-0.0771,6
num_columns,1.5646,-0.0514,0.0797,6
num_joins,-2.9639,-0.0340,-0.0549,6
num_filters,1.8122,-0.0438,0.0616,6
longest_path_len,0.283,-0.2689***,-0.1331,6
num_nodes,-5.4327,-0.0283,-0.0356,6
join_tree_diameter,0.1512,-0.0752,-0.0315,6
num_blocking_ops,2.6483,0.0648,-0.0375,6
num_nested_loop,-2.2628,-0.2049*,0.0026,6
max_est_join_input_rows,-15.8785,-0.0313,-0.0470,6
sum_est_join_input_rows,17.7233,-0.0285,-0.0533,6
num_highly_selective_filters,-0.0149,-0.2021*,-0.1425,6
log_filter_selectivity_product,0.8187,0.1285,0.1031,6
optimizer_est_cost_root,0.2142,0.1117,0.0202,6
log_max_est_rows,7.1329,0.0337,0.0354,6
log_sum_est_rows,-7.6783,0.0820,0.0613,6
max_log_card_error,0.0048,-0.0463,0.0966,6
