label,time,error,filtered
aimai-nan,601088.0,1.63,False
bao-nan,3239222.0,5.04,False
e2e-nan,16226588.0,2.16,False
llm-Qwen-Qwen3-Embedding-0.6B,9597197.99,1.44,False
llm-Qwen-Qwen3-Embedding-4B,41914091.69,1.36,False
llm-Qwen-Qwen3-Embedding-8B,76427359.79,1.29,False
llm-answerdotai-ModernBERT-base,5420563.52,1.7,False
llm-bert-base-uncased,3472555.27,1.73,False
llm-google-gemma-3-12b-pt,27968146.68,1.53,False
llm-google-gemma-3-1b-pt,7787940.7,1.47,False
llm-google-gemma-3-4b-pt,12750059.85,1.54,False
llm-meta-llama-Llama-3.1-8B,18554282.83,1.47,False
llm-meta-llama-Llama-3.2-1B,5548883.94,1.48,False
llm-meta-llama-Llama-3.2-3B,10657323.65,1.5,False
llm-sentence-transformers-all-MiniLM-L6-v2,2143700.85,1.67,False
qf-nan,56670600.0,2.03,False
postgres-nan,601088.0,4.33,False
