label,time,error,filtered
aimai-nan,601088.0,1.1,False
bao-nan,3239222.0,1.44,False
e2e-nan,16226588.0,1.15,False
llm-Qwen-Qwen3-Embedding-0.6B,9597197.99,1.07,False
llm-Qwen-Qwen3-Embedding-4B,41914091.69,1.06,False
llm-Qwen-Qwen3-Embedding-8B,76427359.79,1.05,False
llm-answerdotai-ModernBERT-base,5420563.52,1.09,False
llm-bert-base-uncased,3472555.27,1.09,False
llm-google-gemma-3-12b-pt,27968146.68,1.07,False
llm-google-gemma-3-1b-pt,7787940.7,1.06,False
llm-google-gemma-3-4b-pt,12750059.85,1.06,False
llm-meta-llama-Llama-3.1-8B,18554282.83,1.06,False
llm-meta-llama-Llama-3.2-1B,5548883.94,1.07,False
llm-meta-llama-Llama-3.2-3B,10657323.65,1.07,False
llm-sentence-transformers-all-MiniLM-L6-v2,2143700.85,1.09,False
qf-nan,56670600.0,1.19,False
postgres-nan,601088.0,2.36,False
